Report Title,Type,Field Name,Field Description,Order,Order of Report in System
General>Alerts,Columns,Name,Patient Name,1,1
General>Alerts,Columns,Src Type,Source Type,2,1
General>Alerts,Columns,Subject,,3,1
General>Alerts,Columns,Description,,4,1
General>Alerts,Columns,Exp Date,,5,1
General>Alerts,Columns,Delete Ind,,6,1
General>Alerts,Columns,Crt Dt,Create Date,7,1
General>Alerts,Columns,Created By,Created By,8,1
General>Alerts,Columns,Mod Dt,Last Modified Date,9,1
General>Alerts,Columns,Modified By,Last Modified By,10,1
General>Alerts,Filter,Create Date,,11,1
General>Alerts,Filter,Eff Date,,12,1
General>Alerts,Filter,Hidden,,13,1
General>Alerts,Settings List,Practices,,14,1
General>Authorizations,Columns,Auth Cd,Authorization Code,1,2
General>Authorizations,Columns,Desc ,Authorization Code Description,2,2
General>Authorizations,Columns,Provider Payer ID,,3,2
General>Authorizations,Columns,Payer Name,Payer Name,4,2
General>Authorizations,Columns,Contracted Ind,Contracted Payer Indicator,5,2
General>Authorizations,Columns,Provide NPI,,6,2
General>Authorizations,Columns,Pat Name,Patient Name,7,2
General>Authorizations,Columns,Per Nbr,Person Number,8,2
General>Authorizations,Columns,Ins Name,,9,2
General>Authorizations,Columns,Prov Name,Authorization Rendering,10,2
General>Authorizations,Columns,St Dt,Authorization Start Date,11,2
General>Authorizations,Columns,End DT,Authorization End Date,12,2
General>Authorizations,Columns,Fr Cpt4,Authorization From CPT4,13,2
General>Authorizations,Columns,To Cpt4,Authorization To CPT4,14,2
General>Authorizations,Columns,Enc,Number of Encounters Authorized,15,2
General>Authorizations,Columns,Enc Left,Number of Encounters Left,16,2
General>Authorizations,Columns,Enc Pend,,17,2
General>Authorizations,Columns,Un,,18,2
General>Authorizations,Columns,Un Left,Number of Units Authorized,19,2
General>Authorizations,Columns,Encounter,Number of Units Left,20,2
General>Authorizations,Columns,Loc,,21,2
General>Authorizations,Columns,Crt Dt,Create Date,22,2
General>Authorizations,Columns,Created By,Created By,23,2
General>Authorizations,Columns,Mod Dt,Last Modified Date,24,2
General>Authorizations,Columns,Modified By,Last Modified By,25,2
General>Authorizations,Filter 1,Eff Date,,26,2
General>Authorizations,Settings List,Payers,,27,2
General>Authorizations,Settings List,Practices,,28,2
General>Authorizations,Settings List,Rendering Phys,,29,2
General>BBP Schedule,Columns,Server name,,1,3
General>BBP Schedule,Columns,Package Name,,2,3
General>BBP Schedule,Columns,Package Run Date,,3,3
General>BBP Schedule,Columns,Package Scheduled,,4,3
General>BBP Schedule,Columns,Package Run Duration,,5,3
General>BBP Schedule,Columns,Package Result,,6,3
General>BBP Schedule,Columns,Job #,,7,3
General>BBP Schedule,Columns,Job Name,,8,3
General>BBP Schedule,Columns,Job Type Code,,9,3
General>BBP Schedule,Columns,Job Type,,10,3
General>BBP Schedule,Columns,Job Run Duration,,11,3
General>BBP Schedule,Columns,Job Result,,12,3
General>BBP Schedule,Columns,Crt Dt,Create Date,13,3
General>BBP Schedule,Columns,Exit Code,,14,3
General>BBP Schedule,Columns,Exit Description,,15,3
General>BBP Schedule,Filter 1,Create Date,,16,3
General>BBP Schedule,Filter 1,Scheduled Date,,17,3
General>Claim Requests,Columns,Prac Name,Practice Name,1,4
General>Claim Requests,Columns,Serv Loc,,2,4
General>Claim Requests,Columns,Serv Loc St,,3,4
General>Claim Requests,Columns,Rendering Phys,Charge Rendering Provider,4,4
General>Claim Requests,Columns,Encounter,Source number,5,4
General>Claim Requests,Columns,Claim ID Nbr,,6,4
General>Claim Requests,Columns,Pat Name,Patient Name,7,4
General>Claim Requests,Columns,Per Nbr,Person Number,8,4
General>Claim Requests,Columns,SSN,Social Security Number,9,4
General>Claim Requests,Columns,Pat Addr,,10,4
General>Claim Requests,Columns,Pat City St Zip,,11,4
General>Claim Requests,Columns,Pat Home Phone,,12,4
General>Claim Requests,Columns,Pat Day Phone,,13,4
General>Claim Requests,Columns,Gen,Gender Code,14,4
General>Claim Requests,Columns,Gender Desc,Gender Description,15,4
General>Claim Requests,Columns,Pat Bdate,,16,4
General>Claim Requests,Columns,Pat Email,,17,4
General>Claim Requests,Columns,Pat Marital,,18,4
General>Claim Requests,Columns,Pat Marital Desc,,19,4
General>Claim Requests,Columns,Pat Veteran,,20,4
General>Claim Requests,Columns,Pat Student,,21,4
General>Claim Requests,Columns,Pat Student Desc,,22,4
General>Claim Requests,Columns,Pat Smoker,,23,4
General>Claim Requests,Columns,Race,,24,4
General>Claim Requests,Columns,Preferred Language,,25,4
General>Claim Requests,Columns,Religion,,26,4
General>Claim Requests,Columns,Church,,27,4
General>Claim Requests,Columns,Pat Expired,Expired Indicator,28,4
General>Claim Requests,Columns,Pat Expired Date,,29,4
General>Claim Requests,Columns,Payer Name,Payer Name,30,4
General>Claim Requests,Columns,Contracted Ind,Contracted Payer Indicator,31,4
General>Claim Requests,Columns,COB,,32,4
General>Claim Requests,Columns,Financial Class,,33,4
General>Claim Requests,Columns,Claim Type,,34,4
General>Claim Requests,Columns,Insured Name,,35,4
General>Claim Requests,Columns,Insured Addr,,36,4
General>Claim Requests,Columns,Insured City St Zip,,37,4
General>Claim Requests,Columns,Insured Policy #,,38,4
General>Claim Requests,Columns,Media Type,,39,4
General>Claim Requests,Columns,Media Type Desc,,40,4
General>Claim Requests,Columns,Claim Form,,41,4
General>Claim Requests,Columns,Req Status,,42,4
General>Claim Requests,Columns,Req Status Desc,,43,4
General>Claim Requests,Columns,Claim Cond,,44,4
General>Claim Requests,Columns,Claim Cond Desc,,45,4
General>Claim Requests,Columns,Billed Amt,Billed Amount,46,4
General>Claim Requests,Columns,Created By,Created By,47,4
General>Claim Requests,Columns,Crt Dt,Create Date,48,4
General>Claim Requests,Columns,Modified By,Last Modified By,49,4
General>Claim Requests,Columns,Mod Dt,Last Modified Date,50,4
General>Claim Requests,Columns,Proc Date,,51,4
General>Claim Requests,Columns,Claim Status Category,,52,4
General>Claim Requests,Columns,Claim Status Code D,,53,4
General>Claim Requests,Columns,Act Status,Acknowledgement Status,54,4
General>Claim Requests,Filter 1,Create Date,,55,4
General>Claim Requests,Filter 1,Processed Date,,56,4
General>Claim Requests,Filter 1,Request Status,,57,4
General>Claim Requests,Filter 1,Payer Seq,,58,4
General>Claim Requests,Filter 1,Media Type,,59,4
General>Claim Requests,Filter 1,Name,,60,4
General>Claim Requests,Filter 1,Status Cat Code,,61,4
General>Claim Requests,Filter 1,Status Code,,62,4
General>Claim Requests,Settings List,Claim Forms,,63,4
General>Claim Requests,Settings List,Claim Type,,64,4
General>Claim Requests,Settings List,Fin Classes,,65,4
General>Claim Requests,Settings List,Locations,,66,4
General>Claim Requests,Settings List,Payers,,67,4
General>Claim Requests,Settings List,Practices,,68,4
General>Claim Requests,Settings List,Rendering Phys,,69,4
General>Downtime Patient Listing By Provider,Columns,Rendering,Charge Rendering Provider,1,5
General>Downtime Patient Listing By Provider,Columns,Loc Name,Location Name,2,5
General>Downtime Patient Listing By Provider,Columns,Provider SubGrp 1,Providing Subgrouping 1,3,5
General>Downtime Patient Listing By Provider,Columns,Provider SubGrp 2,Providing Subgrouping 2,4,5
General>Downtime Patient Listing By Provider,Columns,Admitting,Admitting Provider,5,5
General>Downtime Patient Listing By Provider,Columns,Fst Consult,First Consulting Provider,6,5
General>Downtime Patient Listing By Provider,Columns,Sec Consult,Second Consulting Provider,7,5
General>Downtime Patient Listing By Provider,Columns,Referring,Encounter Referring Provider,8,5
General>Downtime Patient Listing By Provider,Columns,Chg Referring,Charge Referring Provider,9,5
General>Downtime Patient Listing By Provider,Columns,Supervisor,Supervising Provider,10,5
General>Downtime Patient Listing By Provider,Columns,Pat Name,Patient Name,11,5
General>Downtime Patient Listing By Provider,Columns,Per Nbr,Person Number,12,5
General>Downtime Patient Listing By Provider,Columns,Addr 1,Address 1,13,5
General>Downtime Patient Listing By Provider,Columns,Addr 2,Address 2,14,5
General>Downtime Patient Listing By Provider,Columns,City. State Zip,,15,5
General>Downtime Patient Listing By Provider,Columns,Country,,16,5
General>Downtime Patient Listing By Provider,Columns,County,County,17,5
General>Downtime Patient Listing By Provider,Columns,Birth Dt,Birth Date,18,5
General>Downtime Patient Listing By Provider,Columns,Pat Age,Patient Age,19,5
General>Downtime Patient Listing By Provider,Columns,Pat Age in Years,Patient Age in Years,20,5
General>Downtime Patient Listing By Provider,Columns,Pat Age in Months,Patients Age in Months,21,5
General>Downtime Patient Listing By Provider,Columns,Md Rc,Medical Record Number,22,5
General>Downtime Patient Listing By Provider,Columns,MD Rc Term Dig,Medical Record Number Terminal Digit,23,5
General>Downtime Patient Listing By Provider,Columns,SSN,Social Security Number,24,5
General>Downtime Patient Listing By Provider,Columns,Phone,,25,5
General>Downtime Patient Listing By Provider,Columns,Day Phone,Day Phone,26,5
General>Downtime Patient Listing By Provider,Columns,Email Addr,Email Address,27,5
General>Downtime Patient Listing By Provider,Columns,Pat Sts,Patient Status,28,5
General>Downtime Patient Listing By Provider,Columns,Pat Sts Rsn,Patient Status Reason,29,5
General>Downtime Patient Listing By Provider,Columns,Reminder Call Opt O,Enterprise Client Defined 1,30,5
General>Downtime Patient Listing By Provider,Columns,Crt Dt,Create Date,31,5
General>Downtime Patient Listing By Provider,Columns,Pat Crt Dt,,32,5
General>Downtime Patient Listing By Provider,Filter 1,Create Date,,33,5
General>Downtime Patient Listing By Provider,Filter 1,Pat Create Date,,34,5
General>Downtime Patient Listing By Provider,Settings List,Provider SubGrp 1,,35,5
General>Downtime Patient Listing By Provider,Settings List,Provider SubGrp 2,,36,5
General>Downtime Patient Listing By Provider,Settings List,Rendering Phys,,37,5
General> Eligibility Referral,Columns,Prac Name,Practice Name,1,6
General> Eligibility Referral,Columns,Pat Name,Patient Name,2,6
General> Eligibility Referral,Columns,Per Nbr,Person Number,3,6
General> Eligibility Referral,Columns,Insured,,4,6
General> Eligibility Referral,Columns,Insured Pat Nbr,,5,6
General> Eligibility Referral,Columns,Rendering,Rendering Provider,6,6
General> Eligibility Referral,Columns,Referred To,Referral Rendering,7,6
General> Eligibility Referral,Columns,Provider SubGrp 1,Provider Subgrouping 1,8,6
General> Eligibility Referral,Columns,Provider SubGrp 2,Provider Subgrouping 2,9,6
General> Eligibility Referral,Columns,Payer Name,Payer Name,10,6
General> Eligibility Referral,Columns,Payer Sub Grp 1,Payer Subgrouping 1,11,6
General> Eligibility Referral,Columns,Payer Sub Grp 2,Payer Subgrouping 2,12,6
General> Eligibility Referral,Columns,Contracted Ind,Contracted Payer Indicator,13,6
General> Eligibility Referral,Columns,Inq Type,,14,6
General> Eligibility Referral,Columns,Submit Status,,15,6
General> Eligibility Referral,Columns,Response Status,,16,6
General> Eligibility Referral,Columns,Rejection Definiton,,17,6
General> Eligibility Referral,Columns,Certification Type,,18,6
General> Eligibility Referral,Columns,Related Causes,,19,6
General> Eligibility Referral,Columns,Release Of Info,,20,6
General> Eligibility Referral,Columns,Quantity Qualifier,,21,6
General> Eligibility Referral,Columns,Quantity  ,Count,22,6
General> Eligibility Referral,Columns,Inq Type,,23,6
General> Eligibility Referral,Columns,Submit Status,,24,6
General> Eligibility Referral,Columns,Response Status,,25,6
General> Eligibility Referral,Columns,Rejection Definition,,26,6
General> Eligibility Referral,Columns,Certification Type,,27,6
General> Eligibility Referral,Columns,Related Causes,,28,6
General> Eligibility Referral,Columns,Release Of Info,,29,6
General> Eligibility Referral,Columns,Quanitiy Qualifier,,30,6
General> Eligibility Referral,Columns,Quantity,Count,31,6
General> Eligibility Referral,Columns,Note,,32,6
General> Eligibility Referral,Columns,Patient Relationship,,33,6
General> Eligibility Referral,Columns,Number of Encs,,34,6
General> Eligibility Referral,Columns,Accident Date,,35,6
General> Eligibility Referral,Columns,Reminder Call Opt O,Enterprise Client Defined 1,36,6
General> Eligibility Referral,Columns,Crt Dt,Create Date,37,6
General> Eligibility Referral,Columns,Appt Dt,Appointment Date,38,6
General> Eligibility Referral,Columns,Enc Nbr,Encounter Number,39,6
General> Eligibility Referral,Columns,Created By,Created By,40,6
General> Eligibility Referral,Columns,Mod Dt,Last Modified Date,41,6
General> Eligibility Referral,Columns,Modified By,Last Modified By,42,6
General> Eligibility Referral,Columns,Loc Name,Location Name,43,6
General> Eligibility Referral,Filter 1,Create Date,,44,6
General> Eligibility Referral,Filter 1,Statuses,,45,6
General> Eligibility Referral,Filter 1,Inquiry Type,,46,6
General> Eligibility Referral,Filter 1,Response Status,,47,6
General> Eligibility Referral,Settings List,Payer SubGrp 1,,48,6
General> Eligibility Referral,Settings List,Payer SubGrp 2,,49,6
General> Eligibility Referral,Settings List,Payers,,50,6
General> Eligibility Referral,Settings List,Practices,,51,6
General> Eligibility Referral,Settings List,Provider SubGrp 1,,52,6
General> Eligibility Referral,Settings List,Provider Subgrp 2,,53,6
General> Eligibility Referral,Settings List,Rendering Phys,,54,6
General>Eligibility Referral Reconciliation,Columns,Prac Name,Practice Name,1,7
General>Eligibility Referral Reconciliation,Columns,Pat Name,Patient Name,2,7
General>Eligibility Referral Reconciliation,Columns,Per Nbr,Person Number,3,7
General>Eligibility Referral Reconciliation,Columns,Insured,,4,7
General>Eligibility Referral Reconciliation,Columns,Insured Per Nbr,,5,7
General>Eligibility Referral Reconciliation,Columns,Rendering,Rendering Provider,6,7
General>Eligibility Referral Reconciliation,Columns,Payer Name,Payer Name,7,7
General>Eligibility Referral Reconciliation,Columns,Inq Type,,8,7
General>Eligibility Referral Reconciliation,Columns,Submit Status,,9,7
General>Eligibility Referral Reconciliation,Columns,Response Status,,10,7
General>Eligibility Referral Reconciliation,Columns,Rejection Definition,,11,7
General>Eligibility Referral Reconciliation,Columns,Crt Dt,Create Date,12,7
General>Eligibility Referral Reconciliation,Columns,Appt Dt,Appointment Date,13,7
General>Eligibility Referral Reconciliation,Columns,Enc Nbr,Encounter Number,14,7
General>Eligibility Referral Reconciliation,Columns,Created By,Created By,15,7
General>Eligibility Referral Reconciliation,Columns,Svr Dat,Server Create Date,16,7
General>Eligibility Referral Reconciliation,Columns,Modified By,Last Modified By,17,7
General>Eligibility Referral Reconciliation,Columns,Loc Name,Location Name,18,7
General>Eligibility Referral Reconciliation,Columns,Bill Ind,Billable Indicator,19,7
General>Eligibility Referral Reconciliation,Filter 1,Create Date,,20,7
General>Eligibility Referral Reconciliation,Filter 1,Statuses,,21,7
General>Eligibility Referral Reconciliation,Filter 1,Inquiry Type,,22,7
General>Eligibility Referral Reconciliation,Filter 1,Response Status,,23,7
General>Eligibility Referral Reconciliation,Settings List,Locations,,24,7
General>Eligibility Referral Reconciliation,Settings List,Payers,,25,7
General>Eligibility Referral Reconciliation,Settings List,Practices,,26,7
General>External Charge Import,Columns,Prac Name,Practice Name,1,8
General>External Charge Import,Columns,Prac ID,Practice Ideintifier,2,8
General>External Charge Import,Columns,Per Nbr,Person Number,3,8
General>External Charge Import,Columns,Pat Name,Patient Name,4,8
General>External Charge Import,Columns,Appt Dt,Appointment Date,5,8
